"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002775,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,127.002944,0.280169,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004999,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,359.628091,0.990494,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,127.352317,0.338972,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004985,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod","sample",1,10847022,402.746172,1.386272,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,122.115003,0.234609,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023821,0.001342,"B/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3436.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6008.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2760704.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15252.442116,2271.579184,"ns/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.044443,4.909596,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.850299,156.287237,"B/op",Code.Java.Abacus.v1.Refactored.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaArmonica
