"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002702,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,123.666865,0.304740,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005134,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,374.759930,0.954603,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,122.203497,0.306044,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005195,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","sample",1,13767060,422.438747,0.206496,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,116.791254,0.643445,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.025185,0.001405,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3064.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5736.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,157696.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15798.486028,2258.093302,"ns/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,86.532479,3.616843,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.443114,156.098041,"B/op",Code.Java.Abacus.v1.Refactored.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaGeometrica
