"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002747,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.741047,0.262519,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005049,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,364.023692,0.903447,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,125.798527,0.305951,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005046,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","sample",1,11088925,408.960385,1.206003,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,120.636365,0.294764,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024186,0.001405,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3364.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5888.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2924544.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15297.359281,2351.398996,"ns/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,88.171485,3.535382,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.043912,156.253014,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
