"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002976,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,136.212238,0.293866,"MB/sec",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004661,0.000058,"B/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,337.727272,1.001591,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,135.628188,0.395494,"MB/sec",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004678,0.000058,"B/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod","sample",1,11296788,374.832327,0.248626,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.660531,0.324004,"MB/sec",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022154,0.001269,"B/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3204.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5800.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,212992.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,11220.741517,2035.613696,"ns/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,107.845978,4.398646,"MB/sec",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.395210,156.436752,"B/op",Code.Java.Abacus.v1.Refactored.Mediana
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Mediana
