"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003014,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,137.947411,0.287291,"MB/sec",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004603,0.000057,"B/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,326.706019,0.831579,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,140.171732,0.350061,"MB/sec",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004530,0.000057,"B/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod","sample",1,11745910,361.331338,0.815354,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,136.926553,0.294851,"MB/sec",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020966,0.001170,"B/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3116.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5936.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2797568.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14676.337325,2015.163328,"ns/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,97.186374,4.596610,"MB/sec",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.151697,156.043141,"B/op",Code.Java.Abacus.v1.Refactored.Moda
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Moda
