"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002494,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,114.152073,0.229402,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005561,0.000068,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,22.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,57.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,403.105550,0.950644,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,113.594981,0.261638,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005591,0.000070,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,22.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,59.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,18956451,436.998954,0.486129,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,110.624475,0.243321,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.026514,0.001425,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,21.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,57.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,531.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2952.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5336.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2658304.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,17276.373253,2283.062463,"ns/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,86.279587,4.224483,"MB/sec",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.461078,156.041001,"B/op",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MultiplicacionNumeros
