"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002733,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.105593,0.238813,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005071,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,369.485221,0.830868,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,123.927750,0.270814,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005123,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod","sample",1,11543382,414.373624,0.800522,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.799913,0.377547,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024458,0.001386,"B/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3376.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5968.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2658304.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14192.663673,2328.904903,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,92.270526,3.949474,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.658683,156.078901,"B/op",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroArmstrong
