"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002817,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,128.934575,0.228147,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004923,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,358.200693,1.023598,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,127.862285,0.356112,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004968,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod","sample",1,10899334,398.162537,0.252032,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.126620,0.328928,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023418,0.001293,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,410.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3244.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5864.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,161024.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13673.019960,2046.364471,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.581392,4.820010,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.894212,156.225058,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMenor
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMenor
