"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002737,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.259139,0.295373,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005066,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,367.832833,1.020695,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.516332,0.340209,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005099,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","sample",1,10901868,402.942696,0.885124,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.994074,0.252223,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023793,0.001341,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3356.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5856.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2818048.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13453.381238,2072.248056,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,103.346499,4.325538,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.237525,156.033214,"B/op",Code.Java.Abacus.v1.Refactored.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroParImpar
