"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002737,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.248173,0.329533,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005067,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,366.960326,0.877812,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.789197,0.291190,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005086,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod","sample",1,10772680,400.641900,0.809982,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,122.414330,0.245820,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023984,0.001392,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3424.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5984.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2523136.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13504.888224,2214.532274,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.670450,3.850294,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.153693,156.114188,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPerfecto
