"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002805,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,128.392701,0.252201,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004945,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,361.193432,1.186178,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.836118,0.413529,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005009,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","sample",1,10993975,395.708174,0.894159,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.891976,0.336218,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023419,0.001385,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3416.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5968.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2863104.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12688.370259,3683.235425,"ns/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,116.444712,5.221904,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.538922,156.264316,"B/op",Code.Java.Abacus.v1.Refactored.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroPrimo
