"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002753,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,126.001520,0.284869,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005038,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,357.747035,0.882120,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,128.005957,0.309695,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004958,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","sample",1,13458029,417.089285,1.059559,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.308013,0.596656,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024719,0.001404,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,431.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3096.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5824.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3125248.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15772.844311,2041.158701,"ns/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,89.128575,3.611148,"MB/sec",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.786427,156.463592,"B/op",Code.Java.Abacus.v1.Refactored.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.OrdenarArray
