"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002732,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.056754,0.273402,"MB/sec",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005074,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,366.888853,1.319905,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.886286,0.415954,"MB/sec",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005084,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","sample",1,11122292,407.830975,0.828163,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,120.829132,0.265282,"MB/sec",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024739,0.001495,"B/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3496.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6272.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2686976.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14650.487026,2134.834939,"ns/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.259679,4.181678,"MB/sec",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.674651,156.072757,"B/op",Code.Java.Abacus.v1.Refactored.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PendienteRecta
