"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002645,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,121.051404,0.223067,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005243,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,381.528576,0.886277,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,120.012800,0.271040,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005291,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","sample",1,11553436,418.501324,1.047232,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,117.382399,0.248205,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.025121,0.001467,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3404.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3563520.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14782.051896,2296.085944,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,90.842129,3.634500,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.101796,156.235787,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroCuadrado
