"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002598,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,118.917593,0.253547,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005339,0.000066,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,388.854934,0.828361,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,117.749883,0.238464,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005390,0.000067,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,17201615,420.095296,0.158797,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,115.065243,0.219503,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.025662,0.001475,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,23.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,61.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,511.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,2964.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5496.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,199424.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15371.573852,2300.458646,"ns/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,89.182076,3.911141,"MB/sec",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.491018,156.271752,"B/op",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PerimetroRectangulo
