"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002935,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.326974,0.294622,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004724,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,342.852387,0.809589,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,133.557268,0.304259,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004753,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod","sample",1,11374723,373.127158,1.147144,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.570159,0.356885,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021817,0.001278,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3204.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5904.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3088384.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,17225.960080,2494.479836,"ns/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,84.593410,3.771304,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.349301,156.056711,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
