"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002792,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,127.767833,0.248403,"MB/sec",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004965,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,359.092011,0.819229,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,127.514163,0.283399,"MB/sec",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004977,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod","sample",1,10883672,390.815595,1.265513,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,126.363919,0.287746,"MB/sec",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023106,0.001309,"B/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3316.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2928640.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12762.726547,2050.557404,"ns/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,115.479764,5.038894,"MB/sec",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.307385,156.279783,"B/op",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PotenciaRaiz
