"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002739,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.352536,0.268746,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005065,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,362.789252,0.649078,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.193352,0.219687,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005027,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod","sample",1,10609526,401.560884,0.233166,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,123.598333,0.224214,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023939,0.001407,"B/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3424.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6160.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,110336.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14046.808383,2237.949144,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,109.588012,5.302823,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.003992,156.082000,"B/op",Code.Java.Abacus.v1.Refactored.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioArray
