"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002731,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,124.979838,0.297010,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005078,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,374.089991,0.650624,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,122.379230,0.208435,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005185,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,11784930,410.112736,0.797208,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.915362,0.304106,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024694,0.001479,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,420.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3356.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6072.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2740224.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14085.039920,2170.023036,"ns/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,86.586767,2.851012,"MB/sec",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.506986,156.065124,"B/op",Code.Java.Abacus.v1.Refactored.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PromedioNumeros
