"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002841,0.000008,"ops/ns",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,130.009369,0.364429,"MB/sec",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004884,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,350.904855,0.822095,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,130.494723,0.298684,"MB/sec",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004862,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod","sample",1,11039502,385.863747,0.878914,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,128.640858,0.409309,"MB/sec",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022865,0.001184,"B/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3496.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6352.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2572288.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16938.298403,2140.695460,"ns/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,86.349304,4.052773,"MB/sec",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.309381,156.055139,"B/op",Code.Java.Abacus.v1.Refactored.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.PuntoMedio
