"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002792,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,127.770175,0.228190,"MB/sec",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004968,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,358.724277,0.826143,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,127.646381,0.284988,"MB/sec",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004973,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,10740812,394.208828,0.244725,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.363934,0.257909,"MB/sec",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023178,0.001300,"B/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3304.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5951.349600,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,216064.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15140.552894,2271.452826,"ns/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,102.834763,5.208977,"MB/sec",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.874251,156.091523,"B/op",Code.Java.Abacus.v1.Refactored.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RestaNumeros
