"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002942,0.000008,"ops/ns",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.630702,0.362106,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004714,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,348.055307,0.799691,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,131.559256,0.291183,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004824,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod","sample",1,10961309,387.032867,0.915902,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,127.713404,0.341052,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023000,0.001338,"B/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3336.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2945024.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16573.359281,2036.779373,"ns/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,91.859832,4.381986,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.189621,156.049582,"B/op",Code.Java.Abacus.v1.Refactored.SumaArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaArray
