"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002864,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,131.068096,0.278014,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004844,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,355.201251,0.740566,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,128.899999,0.259285,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004927,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","sample",1,10829758,395.856048,0.874350,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.786336,0.291732,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023896,0.001378,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3424.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2777088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14091.414172,2277.126600,"ns/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,107.825118,5.047098,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.477046,156.245580,"B/op",Code.Java.Abacus.v1.Refactored.SumaDigitos
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaDigitos
