"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002834,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,129.722173,0.242973,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004894,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,356.127174,0.971825,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,128.601543,0.346441,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004937,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod","sample",1,10907833,386.358119,0.887557,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,127.124650,0.374648,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022688,0.001252,"B/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3316.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5720.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2838528.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15371.966068,2355.193657,"ns/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,95.008564,4.519878,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.291417,156.101191,"B/op",Code.Java.Abacus.v1.Refactored.SumaImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaImpares
