"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002815,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,128.829694,0.296285,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004928,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,360.593056,0.888332,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.991884,0.304595,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005001,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","sample",1,10786142,389.757122,0.257606,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,125.679941,0.281017,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023036,0.001312,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3396.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6048.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,189440.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13175.345309,2259.424648,"ns/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.192796,4.078634,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.029940,156.046971,"B/op",Code.Java.Abacus.v1.Refactored.SumaMatrices
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaMatrices
