"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002756,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,126.148378,0.252281,"MB/sec",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005033,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,359.806656,0.758407,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,127.253967,0.258779,"MB/sec",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004985,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod","sample",1,10626609,398.240136,0.259785,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,123.129576,0.218173,"MB/sec",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023748,0.001333,"B/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,390.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3476.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6098.712000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,214016.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12250.774451,2021.981137,"ns/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.768013,4.366923,"MB/sec",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.363273,156.092609,"B/op",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ValorAbsoluto
