"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002708,0.000008,"ops/ns",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,123.952947,0.345065,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005122,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,367.287272,0.708622,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.655182,0.233175,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005089,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","sample",1,11337327,408.256674,2.881540,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,120.419622,0.260215,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024596,0.001511,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,410.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3396.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5922.137600,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,9289728.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15132.091816,2212.274255,"ns/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,88.384690,3.622911,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.514970,156.091995,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
