"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002766,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,126.589503,0.291583,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005016,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,362.516974,0.784672,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.306414,0.265276,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005026,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","sample",1,10782103,398.826526,1.202376,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,123.228960,0.265681,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023778,0.001255,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3424.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6104.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2850816.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12021.036926,2138.796841,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,106.139379,4.854174,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.073852,156.102514,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
