"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3021.433110,9.457418,"ops/ms",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,138.308165,0.432962,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000229,0.000001,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000328,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.504316,0.187613,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","sample",1,22987234,0.000360,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,134.620571,0.231224,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001921,0.000393,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000591,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004096,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.630208,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018373,0.002430,"ms/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.534466,5.656914,"MB/sec",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Rare.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaCuadrado
