"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3221.537209,20.515384,"ops/ms",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,147.468010,0.939147,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000215,0.000002,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,60.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000317,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,144.460217,0.538374,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000219,0.000001,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","sample",1,23206709,0.000354,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,135.905427,0.286879,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001954,0.000458,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,118.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000310,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000611,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004056,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.990656,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010299,0.001797,"ms/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,78.351121,5.937229,"MB/sec",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.000000,11.578859,"B/op",Code.Java.Abacus.v1.Rare.AreaEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaEsfera
