"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2971.144561,12.386362,"ops/ms",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,136.006271,0.566945,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000233,0.000001,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000325,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,141.082158,0.709302,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000224,0.000001,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,23182824,0.000360,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,135.765544,0.361918,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001961,0.000466,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000321,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000641,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004088,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.715648,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014494,0.002800,"ms/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,73.427311,7.530513,"MB/sec",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6892.800000,29.318842,"B/op",Code.Java.Abacus.v1.Rare.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaTriangulo
