"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3074.432944,10.624099,"ops/ms",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,140.734522,0.486317,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000225,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,115.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000342,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,133.862412,0.550085,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000236,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","sample",1,22241059,0.000371,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,130.245239,0.334730,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002031,0.000460,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000712,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004288,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.424832,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.012792,0.002447,"ms/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,74.742546,6.969683,"MB/sec",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.160000,18.586343,"B/op",Code.Java.Abacus.v1.Rare.CalculosCirculo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculosCirculo
