"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2813.345817,9.705568,"ops/ms",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,128.783145,0.444286,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000245,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000364,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.836353,0.248252,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000251,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","sample",1,21033391,0.000400,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,119.712414,0.318392,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002191,0.000486,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,109.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000931,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004272,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.220032,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015415,0.003111,"ms/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.308534,7.531202,"MB/sec",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CoeficienteVariacion
