"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3063.964428,8.590929,"ops/ms",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,140.255020,0.393238,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000226,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000333,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,137.527804,0.429419,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000230,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod","sample",1,23105111,0.000357,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,135.308123,0.220095,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001955,0.000416,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,118.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000631,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004112,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.596864,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019276,0.004015,"ms/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.810775,7.360191,"MB/sec",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6890.880000,25.960010,"B/op",Code.Java.Abacus.v1.Rare.ContarImpares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ContarImpares
