"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2916.595402,7.852375,"ops/ms",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,133.509016,0.359441,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000237,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000341,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,134.132153,0.564460,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000236,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","sample",1,21135566,0.000387,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,123.767377,0.495490,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002126,0.000471,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000831,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004328,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.879488,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016812,0.003214,"ms/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,64.682212,6.996574,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.000000,0.000000,"B/op",Code.Java.Abacus.v1.Rare.ConversionKmMillas
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionKmMillas
