"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2880.049042,12.297138,"ops/ms",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,131.836414,0.562907,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000240,0.000001,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000344,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,133.057923,0.199803,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000238,0.000001,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","sample",1,21732483,0.000384,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,127.266179,0.242005,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002076,0.000425,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000390,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000771,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004176,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.839104,NaN,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.009704,0.002009,"ms/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,79.305440,6.155368,"MB/sec",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.000000,0.000000,"B/op",Code.Java.Abacus.v1.Rare.DesviacionEstandar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DesviacionEstandar
