"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2974.985035,6.550851,"ops/ms",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,136.182076,0.299840,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000232,0.000001,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000342,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,134.032037,0.428626,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000236,0.000001,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","sample",1,22314555,0.000366,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,130.677867,0.173410,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001968,0.000406,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000662,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004184,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.641920,NaN,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017886,0.002560,"ms/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,71.429758,5.546428,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6891.600000,31.118543,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
