"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3430.509554,15.476880,"ops/ms",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,157.033763,0.708432,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000202,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,65.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000298,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,153.712511,0.784109,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000206,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,63.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,118.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod","sample",1,24785627,0.000335,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,145.157793,0.239101,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001775,0.000372,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,127.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000300,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000541,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004024,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.670592,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018831,0.003747,"ms/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,61.684802,7.162709,"MB/sec",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Rare.Fuerza
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Fuerza
