"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3091.381998,11.038022,"ops/ms",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,141.510530,0.505270,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000223,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000319,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,143.431174,0.485946,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000221,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","sample",1,23555759,0.000351,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,137.947939,0.427197,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001965,0.000427,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000410,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000611,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004176,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.621440,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013597,0.002871,"ms/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,73.674081,7.698004,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionSeno
