"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2943.745379,7.815509,"ops/ms",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.751981,0.357764,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000235,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000329,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.024898,0.453303,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000228,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","sample",1,22216571,0.000372,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,130.106627,0.111915,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001974,0.000444,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,116.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000451,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000661,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004048,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.744320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015371,0.003503,"ms/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.032248,7.211975,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.000000,11.578859,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
