"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3082.122314,16.494148,"ops/ms",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,141.085845,0.755016,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000224,0.000001,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,118.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000340,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,134.775592,0.251381,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000235,0.000001,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod","sample",1,22562063,0.000367,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.128515,0.294577,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001947,0.000426,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,115.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000631,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004216,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.629632,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.022271,0.003088,"ms/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,61.195301,6.778464,"MB/sec",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.440000,4.883802,"B/op",Code.Java.Abacus.v1.Rare.InteresSimple
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InteresSimple
