"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3018.455019,12.666077,"ops/ms",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,138.172225,0.579791,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000229,0.000001,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000327,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.897453,0.394619,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000226,0.000001,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod","sample",1,22608257,0.000370,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.402330,0.213377,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001934,0.000406,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000612,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004192,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.596864,NaN,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019001,0.003600,"ms/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,70.846821,6.539099,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.680000,7.629646,"B/op",Code.Java.Abacus.v1.Rare.InvertirArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirArray
