"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3376.985684,13.358850,"ops/ms",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,154.584130,0.611529,"MB/sec",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000205,0.000001,"B/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,63.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000304,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,150.401160,0.255480,"MB/sec",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000210,0.000001,"B/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,62.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,128.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod","sample",1,24935755,0.000333,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,146.036265,0.366087,"MB/sec",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001794,0.000387,"B/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,60.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,121.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000300,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000551,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003939,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.654208,NaN,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.020902,0.003086,"ms/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,64.766606,6.409071,"MB/sec",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.840000,9.690869,"B/op",Code.Java.Abacus.v1.Rare.LeyOhm
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.LeyOhm
