"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3449.240229,5.782101,"ops/ms",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,157.891365,0.264675,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000200,0.000000,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,65.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,115.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000292,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,156.884301,0.442217,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000202,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,64.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod","sample",1,25625049,0.000323,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,150.074132,0.543302,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001752,0.000375,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,62.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,135.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000290,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000321,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000531,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003976,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,0.105728,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.022626,0.002572,"ms/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,55.899943,5.082796,"MB/sec",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.440000,18.449917,"B/op",Code.Java.Abacus.v1.Rare.MCM
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MCM
