"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3150.987843,4.537991,"ops/ms",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,144.238132,0.207757,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000219,0.000000,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,119.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000314,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,145.998827,0.663990,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000217,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,60.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod","sample",1,23509698,0.000357,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,137.679118,0.373297,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001946,0.000433,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,123.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000651,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004136,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.961408,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016032,0.003173,"ms/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.790305,7.825389,"MB/sec",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.MaximoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MaximoArray
