"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3037.627264,8.120993,"ops/ms",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,139.049788,0.371761,"MB/sec",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000327,0.000003,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.891613,1.103252,"MB/sec",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000226,0.000002,"B/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod","sample",1,22550655,0.000365,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.059993,0.270036,"MB/sec",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002007,0.000445,"B/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,130.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000702,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004232,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,10.813440,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016734,0.002995,"ms/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,75.227646,6.732329,"MB/sec",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.720000,9.224958,"B/op",Code.Java.Abacus.v1.Rare.MediaArmonica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaArmonica
