"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2964.790025,18.360421,"ops/ms",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,135.715513,0.840410,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000233,0.000002,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000329,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,138.951695,0.432537,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000228,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,120.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","sample",1,22555083,0.000366,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.084680,0.155010,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001941,0.000423,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000702,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004144,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.494464,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011666,0.002317,"ms/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,78.432784,6.699297,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
