"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3175.009972,12.516896,"ops/ms",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,145.338489,0.572930,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000218,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000319,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,143.567949,0.598002,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000220,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod","sample",1,23687803,0.000351,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,138.725310,0.351884,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001867,0.000424,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,119.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000581,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004024,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.736128,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.012809,0.002405,"ms/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,71.719330,6.630345,"MB/sec",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.720000,2.441901,"B/op",Code.Java.Abacus.v1.Rare.MinimoArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MinimoArray
