"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2962.449839,14.089504,"ops/ms",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,135.608169,0.645008,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000233,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000332,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,137.738749,0.822568,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000230,0.000001,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","sample",1,21263977,0.000385,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,124.527384,0.228942,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002063,0.000448,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000701,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004088,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.678784,NaN,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016775,0.002621,"ms/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,76.395401,6.770353,"MB/sec",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.840000,4.593093,"B/op",Code.Java.Abacus.v1.Rare.MultiplicarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MultiplicarArray
