"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3150.813991,11.090133,"ops/ms",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,144.231085,0.507658,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000219,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,109.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000323,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,141.893023,0.617397,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000223,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,120.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","sample",1,23868768,0.000346,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,139.782957,0.467169,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001875,0.000400,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,129.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000310,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000591,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004056,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.355200,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018842,0.003406,"ms/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.717781,4.920066,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroMayor
