"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2991.979229,12.639710,"ops/ms",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,136.960314,0.578586,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000231,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000333,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,137.564777,0.401746,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000230,0.000001,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","sample",1,23159362,0.000360,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,135.625975,0.224273,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001897,0.000424,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,132.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000642,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004128,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.785280,NaN,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018686,0.002459,"ms/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.961353,5.685383,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.400000,14.922727,"B/op",Code.Java.Abacus.v1.Rare.NumeroParImpar
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroParImpar
