"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3042.638350,8.524826,"ops/ms",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,139.278855,0.390166,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000326,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,140.300161,0.269210,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000225,0.000001,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","sample",1,22921525,0.000364,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,134.234413,0.333219,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001966,0.000463,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,120.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000661,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004088,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,0.145408,NaN,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015511,0.002934,"ms/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.539417,7.334970,"MB/sec",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.OrdenarArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.OrdenarArray
