"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2930.895592,6.381496,"ops/ms",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.163585,0.292127,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000236,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000334,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,136.958359,0.602390,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000231,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","sample",1,22045596,0.000376,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,129.101767,0.210882,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001987,0.000452,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,108.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000691,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004176,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.232320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014570,0.002538,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,81.805834,5.738401,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.280000,19.416906,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
