"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3042.441572,7.004726,"ops/ms",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,139.269576,0.320644,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000332,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,137.709121,0.712052,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000230,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod","sample",1,22849615,0.000364,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,133.810982,0.305817,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001989,0.000425,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,121.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000681,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004208,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.899968,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019274,0.002676,"ms/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.765806,5.636701,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6888.160000,20.544121,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
