"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3078.740770,17.792920,"ops/ms",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,140.931373,0.814522,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000224,0.000001,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000320,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,142.860672,0.602797,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000221,0.000001,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,23399509,0.000356,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,137.035088,0.462326,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001905,0.000400,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,121.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000611,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004128,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.656832,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015153,0.002629,"ms/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,74.429548,7.465396,"MB/sec",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6889.840000,23.611970,"B/op",Code.Java.Abacus.v1.Rare.RestaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RestaNumeros
