"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2952.859569,5.890886,"ops/ms",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,135.169325,0.269724,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000234,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000334,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,136.927824,0.243130,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000231,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","sample",1,23006766,0.000365,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,134.733324,0.480370,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001920,0.000415,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,120.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000320,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000641,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004112,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.691072,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014670,0.002531,"ms/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,72.150677,7.725024,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.360000,19.008920,"B/op",Code.Java.Abacus.v1.Rare.SumaPrimeroN
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPrimeroN
