"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3284.866202,14.043331,"ops/ms",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,150.366989,0.642897,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000210,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,62.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000299,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,153.146388,0.867452,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000207,0.000001,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,63.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,113.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod","sample",1,24857873,0.000334,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,145.584192,0.321867,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001738,0.000374,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,60.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,125.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000300,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000541,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003988,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.539520,NaN,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.020494,0.003355,"ms/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.093765,6.883046,"MB/sec",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.Trabajo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Trabajo
