"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3075.226128,9.824618,"ops/ms",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,140.770508,0.449763,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000225,0.000001,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000328,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.778765,0.507095,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","sample",1,22687202,0.000362,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.859804,0.603184,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001982,0.000431,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000691,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004144,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.203648,NaN,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017970,0.002265,"ms/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.746530,5.352310,"MB/sec",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6883.600000,10.249450,"B/op",Code.Java.Abacus.v1.Rare.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.VolumenEsfera
