"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2808.412702,5.282864,"ops/ms",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,128.557118,0.241856,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000246,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000353,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,129.566986,0.504389,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000244,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","sample",1,21611986,0.000378,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,126.561043,0.279217,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002051,0.000444,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,109.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000430,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000752,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004168,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.789952,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019459,0.003480,"ms/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.649028,6.520197,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.800000,20.982453,"B/op",Code.Java.Abacus.v1.Refactored.AreaCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaCuadrado
