"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2791.618007,11.916877,"ops/ms",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.788574,0.545503,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000247,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000359,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,127.474619,0.245310,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,21835523,0.000377,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,127.865245,0.207784,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002061,0.000465,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000811,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004408,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.838528,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015831,0.003168,"ms/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.792678,7.333670,"MB/sec",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.920000,18.016564,"B/op",Code.Java.Abacus.v1.Refactored.AreaTriangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.AreaTriangulo
