"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2833.631363,5.021034,"ops/ms",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,129.711784,0.229856,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000244,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000357,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,128.352112,0.584798,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000246,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","sample",1,20936577,0.000390,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,122.605885,0.266944,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002092,0.000450,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,109.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000390,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000792,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004144,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.849344,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019528,0.003306,"ms/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.329044,4.888221,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
