"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2695.819601,15.147844,"ops/ms",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,123.403390,0.693393,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000256,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000360,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,127.261553,0.187826,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","sample",1,20834313,0.000396,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,122.003690,0.180401,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002123,0.000459,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000471,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000842,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004232,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.703360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.022322,0.003131,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,60.481422,6.047359,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6892.880000,33.532776,"B/op",Code.Java.Abacus.v1.Refactored.CalculoDescuento
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoDescuento
