"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2828.000335,7.373148,"ops/ms",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,129.453637,0.337531,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000244,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000345,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,132.660314,0.184769,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000238,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","sample",1,21995261,0.000381,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.802801,0.559505,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002060,0.000465,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000802,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004264,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.809856,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010689,0.001700,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,76.726392,5.208740,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.CalculoEdad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoEdad
