"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2828.423498,5.644613,"ops/ms",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,129.473370,0.258389,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000244,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,97.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000354,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,129.294033,0.533627,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000245,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","sample",1,20806205,0.000400,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,121.836946,0.153904,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002167,0.000487,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000931,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004192,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.854912,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010776,0.001749,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,80.676860,5.982988,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.440000,18.449917,"B/op",Code.Java.Abacus.v1.Refactored.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoPropina
